Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:25:41:500,-1.2497,3.0329,8.3954,53.9456,-0.4362,-0.2965,-0.4182,193.5938
19:25:41:513,-2.1571,3.3441,8.7485,54.4508,-0.4674,0.046,0.0362,194.3906
19:25:41:530,-1.7656,3.1993,8.7701,54.9556,-0.289,0.2574,0.1965,194.3906
19:25:41:558,-1.5992,2.7073,7.7226,54.4709,-0.265,0.3605,0.3853,194.3906
19:25:41:569,-0.8702,2.6713,7.6412,55.0237,-0.4091,-0.1735,0.8404,187.7969
19:25:41:592,-0.0621,2.645,7.9441,55.0031,-0.6637,-0.0701,0.556,187.7969
19:25:41:610,-1.1683,2.5971,8.6001,55.4618,-0.9766,-0.1216,0.3398,186.0938
19:25:41:628,-1.045,2.6558,9.6547,53.5307,-0.9028,-0.1314,0.2655,185.5781
19:25:41:657,-1.4532,2.9491,9.9564,53.3196,-0.5984,0.0574,0.132,185.125
19:25:41:668,-1.0569,3.5021,9.316,54.8373,-0.3928,0.013,0.0724,184.8125
19:25:41:691,0.3736,3.5967,9.9313,54.5316,-0.261,-0.3972,-0.1631,184.6562
19:25:41:708,-0.93,2.9395,10.6148,57.4386,-0.1478,-0.5399,-0.3561,184.6406
19:25:41:727,-1.2628,2.6127,10.7465,54.3005,-0.1654,-0.1628,-0.2528,185.0625
19:25:41:747,-1.0258,2.8629,9.942,55.5058,-0.2871,0.4412,-0.15,185.4844
19:25:41:767,-1.0509,3.1466,9.4788,54.1054,-0.3683,0.512,-0.1409,185.6406
19:25:41:792,-0.9097,3.1945,9.4309,54.4198,-0.2703,0.2817,-0.17,185.6719
19:25:41:809,-0.6487,3.0724,9.5733,54.1073,-0.0993,-0.121,-0.2603,185.75
19:25:41:826,-0.62,2.9347,9.6763,54.1073,0.0554,-0.2622,-0.3841,185.9375
19:25:41:846,-0.7972,2.9155,9.6583,54.5668,0.1907,-0.2949,-0.4805,185.9375
19:25:41:866,-1.1671,2.6546,9.6571,54.5668,0.3095,-0.3037,-0.5114,186.3438
19:25:41:891,-1.3263,2.5899,9.4668,56.6711,0.4253,-0.3447,-0.4539,186.9062
19:25:41:907,-0.6176,2.4331,8.9377,53.7488,0.4852,-0.41,-0.435,187.5156
19:25:41:925,-1.1096,3.0724,8.715,54.1315,0.433,-0.2965,-0.5162,188.1719
19:25:41:945,-1.7189,3.2938,8.7593,55.2482,0.2759,-0.231,-0.4722,188.75
19:25:41:966,-1.9356,2.8198,9.128,53.9148,0.1702,-0.1927,-0.2874,189.7188
19:25:41:992,-2.0589,2.6474,9.377,54.6648,0.1886,-0.3037,-0.0427,190.7031
19:25:42:008,-1.0845,2.6342,9.2082,56.3627,0.2711,-0.3524,0.193,190.7031
19:25:42:025,-0.687,3.0005,8.9053,54.1569,0.2764,-0.3772,0.1949,190.8281
